are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,start_point,end_point,path_label
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,8,2번 출입구,하행 급행,2번 출입구 → 하행 급행
01,수도권,KR,1,1호선,0065,광운대,1,출입구-승강장,9,3번 출입구 엘리베이터,하행 급행,3번 출입구 엘리베이터 → 하행 급행
01,수도권,KR,1,1호선,0300,석계,1,출입구-승강장,1,1번 출입구 근처 엘리베이터,광운대/신이문 방면,1번 출입구 근처 엘리베이터 → 광운대/신이문 방면
01,수도권,KR,1,1호선,0300,석계,3,환승,1,1호선 성북/신이문 방면,6호선 태릉입구 방면,1호선 성북/신이문 방면 → 6호선 태릉입구 방면
01,수도권,KR,1,1호선,0300,석계,3,환승,2,1호선 성북/신이문 방면,6호선 돌곶이 방면,1호선 성북/신이문 방면 → 6호선 돌곶이 방면
01,수도권,KR,1,1호선,0371,신이문,1,출입구-승강장,1,1번 출입구 엘리베이터,석계 방면,1번 출입구 엘리베이터 → 석계 방면
01,수도권,KR,1,1호선,0371,신이문,1,출입구-승강장,2,2번 출입구 엘리베이터,석계 방면,2번 출입구 엘리베이터 → 석계 방면
01,수도권,KR,1,1호선,0371,신이문,1,출입구-승강장,3,3번 출입구 엘리베이터,석계 방면,3번 출입구 엘리베이터 → 석계 방면
01,수도권,KR,1,1호선,0371,신이문,1,출입구-승강장,4,4번 출입구 엘리베이터,석계 방면,4번 출입구 엘리베이터 → 석계 방면
01,수도권,KR,1,1호선,0371,신이문,1,출입구-승강장,5,1번 출입구 엘리베이터,외대앞 방면,1번 출입구 엘리베이터 → 외대앞 방면
01,수도권,KR,1,1호선,0371,신이문,1,출입구-승강장,6,2번 출입구 엘리베이터,외대앞 방면,2번 출입구 엘리베이터 → 외대앞 방면
01,수도권,KR,1,1호선,0371,신이문,1,출입구-승강장,7,3번 출입구 엘리베이터,외대앞 방면,3번 출입구 엘리베이터 → 외대앞 방면
01,수도권,KR,1,1호선,0371,신이문,1,출입구-승강장,8,4번 출입구 엘리베이터,외대앞 방면,4번 출입구 엘리베이터 → 외대앞 방면
01,수도권,KR,1,1호선,0442,외대앞,1,출입구-승강장,1,"외부 3,5번 출입구",신이문방면,"외부 3,5번 출입구 → 신이문방면"
01,수도권,KR,1,1호선,0442,외대앞,1,출입구-승강장,2,1번출입구,신이문방면 ,1번출입구 → 신이문방면 
01,수도권,KR,1,1호선,0604,회기,1,출입구-승강장,1,1번 출입구 옆 엘리베이터,외대앞 방면 승강장,1번 출입구 옆 엘리베이터 → 외대앞 방면 승강장
01,수도권,KR,1,1호선,0604,회기,1,출입구-승강장,2,1번 출입구 옆 엘리베이터,청량리 방면 승강장,1번 출입구 옆 엘리베이터 → 청량리 방면 승강장
01,수도권,KR,1,1호선,0604,회기,1,출입구-승강장,3,2번 출입구 옆 엘리베이터,외대앞 방면 승강장,2번 출입구 옆 엘리베이터 → 외대앞 방면 승강장
01,수도권,KR,1,1호선,0604,회기,1,출입구-승강장,4,2번 출입구 옆 엘리베이터,청량리 방면 승강장,2번 출입구 옆 엘리베이터 → 청량리 방면 승강장
01,수도권,KR,1,1호선,0604,회기,3,환승,1,1호선 외대앞 방면,경의중앙선 청량리 방면,1호선 외대앞 방면 → 경의중앙선 청량리 방면
01,수도권,KR,1,1호선,0604,회기,3,환승,2,1호선 외대앞 방면,경의중앙선 중랑 방면,1호선 외대앞 방면 → 경의중앙선 중랑 방면
01,수도권,KR,1,1호선,0604,회기,3,환승,3,1호선 청량리 방면,경의중앙선 청량리 방면,1호선 청량리 방면 → 경의중앙선 청량리 방면
01,수도권,KR,1,1호선,0604,회기,3,환승,4,1호선 청량리 방면,경의중앙선 중랑 방면,1호선 청량리 방면 → 경의중앙선 중랑 방면
01,수도권,KR,1,1호선,0604,회기,3,환승,5,1호선 외대앞 방면,경춘선 청량리 방면,1호선 외대앞 방면 → 경춘선 청량리 방면
01,수도권,KR,1,1호선,0604,회기,3,환승,6,1호선 외대앞 방면,경춘선 중랑 방면,1호선 외대앞 방면 → 경춘선 중랑 방면
01,수도권,KR,1,1호선,0604,회기,3,환승,7,1호선 청량리 방면,경춘선 청량리 방면,1호선 청량리 방면 → 경춘선 청량리 방면
01,수도권,KR,1,1호선,0604,회기,3,환승,8,1호선 청량리 방면,경춘선 중랑 방면,1호선 청량리 방면 → 경춘선 중랑 방면
01,수도권,S1,1,1호선,0552,청량리,1,출입구-승강장,1,2번 출입구 근처 엘리베이터,제기동 방면,2번 출입구 근처 엘리베이터 → 제기동 방면
01,수도권,S1,1,1호선,0552,청량리,1,출입구-승강장,2,2번 출입구 근처 엘리베이터,회기 방면,2번 출입구 근처 엘리베이터 → 회기 방면
01,수도권,S1,1,1호선,0552,청량리,3,환승,1,1호선 회기 방면,경의중앙선 방면,1호선 회기 방면 → 경의중앙선 방면
01,수도권,S1,1,1호선,0552,청량리,3,환승,2,1호선 제기동 방면,경의중앙선 방면,1호선 제기동 방면 → 경의중앙선 방면
01,수도권,S1,1,1호선,0512,제기동,1,출입구-승강장,1,1번 출입구 옆 엘리베이터,청량리 방면 승강장,1번 출입구 옆 엘리베이터 → 청량리 방면 승강장
01,수도권,S1,1,1호선,0512,제기동,1,출입구-승강장,2,1번 출입구 옆 엘리베이터,신설동 방면 승강장,1번 출입구 옆 엘리베이터 → 신설동 방면 승강장
01,수도권,S1,1,1호선,0367,신설동,1,출입구-승강장,1,2번/3번 출입구 사이 엘리베이터,제기동 방면 승강장,2번/3번 출입구 사이 엘리베이터 → 제기동 방면 승강장
01,수도권,S1,1,1호선,0367,신설동,1,출입구-승강장,2,4번/5번 출입구 사이 엘리베이터,동묘앞 방면 승강장,4번/5번 출입구 사이 엘리베이터 → 동묘앞 방면 승강장
01,수도권,S1,1,1호선,0367,신설동,3,환승,1,1호선 제기동 방면,2호선 용두 방면,1호선 제기동 방면 → 2호선 용두 방면
01,수도권,S1,1,1호선,0367,신설동,3,환승,2,1호선 동묘앞 방면,2호선 용두 방면,1호선 동묘앞 방면 → 2호선 용두 방면
01,수도권,S1,1,1호선,0367,신설동,3,환승,3,1호선 제기동 방면,우이신설선 보문 방면,1호선 제기동 방면 → 우이신설선 보문 방면
01,수도권,S1,1,1호선,0367,신설동,3,환승,4,1호선 동묘앞 방면,우이신설선 보문 방면,1호선 동묘앞 방면 → 우이신설선 보문 방면
01,수도권,S1,1,1호선,0161,동묘앞,1,출입구-승강장,1,2번 출입구,신설동 방면 승강장,2번 출입구 → 신설동 방면 승강장
01,수도권,S1,1,1호선,0161,동묘앞,1,출입구-승강장,2,2번 출입구,동대문 방면 승강장,2번 출입구 → 동대문 방면 승강장
01,수도권,S1,1,1호선,0161,동묘앞,1,출입구-승강장,3,3번 출입구 옆 엘리베이터,신설동 방면 승강장,3번 출입구 옆 엘리베이터 → 신설동 방면 승강장
01,수도권,S1,1,1호선,0161,동묘앞,1,출입구-승강장,4,3번 출입구 옆 엘리베이터,동대문 방면 승강장,3번 출입구 옆 엘리베이터 → 동대문 방면 승강장
01,수도권,S1,1,1호선,0161,동묘앞,3,환승,1,1호선 신설동 방면,6호선 신당 방면,1호선 신설동 방면 → 6호선 신당 방면
01,수도권,S1,1,1호선,0161,동묘앞,3,환승,2,1호선 신설동 방면,6호선 창신 방면,1호선 신설동 방면 → 6호선 창신 방면
