are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,facility_cd,facility_nm,grnd_dv_cd,grnd_dv_nm,stin_flor,floor_label,detail_location,trfc_weak_dv_cd,trfc_weak_dv_nm,ml_fml_dv_cd,ml_fml_dv_nm
01,수도권,KR,1,1호선,0139,덕계,TOLT,일반화장실(여),1,지상,1,지상 1층,1번출구 진입후 좌측,1,일반,2,여
01,수도권,KR,1,1호선,0139,덕계,TOLT,장애인화장실(남),1,지상,1,지상 1층,1번출구 진입후 좌측,2,장애인,1,남
01,수도권,KR,1,1호선,0139,덕계,TOLT,장애인화장실(여),1,지상,1,지상 1층,1번출구 진입후 좌측,2,장애인,2,여
01,수도권,KR,1,1호선,0139,덕계,INFO,고객센터,1,지상,1,지상 1층,맞이방내 편의점 왼쪽,,,,
01,수도권,KR,1,1호선,0139,덕계,LARM,수유실,1,지상,1,지상 1층,1번출구 진입후 왼쪽,,,,
01,수도권,KR,1,1호선,0403,양주,EV,일반승강기,1,지상,2,지상 2층,[1호기](1F)표내는곳(2F)상행승강장,,,,
01,수도권,KR,1,1호선,0403,양주,EV,일반승강기,1,지상,2,지상 2층,[2호기](1F)표내는곳(2F)하행승강장,,,,
01,수도권,KR,1,1호선,0403,양주,EV,일반승강기,1,지상,1,지상 1층,[1호기](1F)표내는곳(2F)상행승강장,,,,
01,수도권,KR,1,1호선,0403,양주,EV,일반승강기,1,지상,1,지상 1층,[2호기](1F)표내는곳(2F)하행승강장,,,,
01,수도권,KR,1,1호선,0403,양주,TOLT,일반화장실(남),1,지상,1,지상 1층,"(1F) 맞이방, 1번출입구 방향",1,일반,1,남
01,수도권,KR,1,1호선,0403,양주,TOLT,일반화장실(여),1,지상,1,지상 1층,"(1F) 맞이방, 1번출입구 방향",1,일반,2,여
01,수도권,KR,1,1호선,0403,양주,TOLT,장애인화장실(남),1,지상,1,지상 1층,"(1F) 맞이방, 1번출입구 방향",2,장애인,1,남
01,수도권,KR,1,1호선,0403,양주,TOLT,장애인화장실(여),1,지상,1,지상 1층,"(1F) 맞이방, 1번출입구 방향",2,장애인,2,여
01,수도권,KR,1,1호선,0403,양주,INFO,고객센터,1,지상,1,지상 1층,(1F) 맞이방 내,,,,
01,수도권,KR,1,1호선,0403,양주,LARM,수유실,1,지상,1,지상 1층,"(F1) 맞이방 1,2번 출입구 중간 방향",,,,
01,수도권,KR,1,1호선,0118,녹양,EV,일반승강기,1,지상,2,지상 2층,[1호기](1F)남부게이트옆,,,,
01,수도권,KR,1,1호선,0118,녹양,EV,일반승강기,1,지상,2,지상 2층,[2호기](1F)남부소요산계단옆,,,,
01,수도권,KR,1,1호선,0118,녹양,EV,일반승강기,1,지상,1,지상 1층,[1호기](1F)남부게이트옆,,,,
01,수도권,KR,1,1호선,0118,녹양,EV,일반승강기,1,지상,1,지상 1층,[2호기](1F)남부소요산계단옆,,,,
01,수도권,KR,1,1호선,0118,녹양,ELEC,전동휠체어충전설비,1,지상,1,지상 1층,(1F) 1번출구 옆,,,,
01,수도권,KR,1,1호선,0118,녹양,TOLT,일반화장실(남),1,지상,1,지상 1층,(1F) 1번출구 왼편,1,일반,1,남
01,수도권,KR,1,1호선,0118,녹양,TOLT,일반화장실(여),1,지상,1,지상 1층,(1F) 1번출구 왼편,1,일반,2,여
01,수도권,KR,1,1호선,0118,녹양,TOLT,장애인화장실(남),1,지상,1,지상 1층,(1F) 1번출구 왼편,2,장애인,1,남
01,수도권,KR,1,1호선,0118,녹양,TOLT,장애인화장실(여),1,지상,1,지상 1층,(1F) 1번출구 왼편,2,장애인,2,여
01,수도권,KR,1,1호선,0118,녹양,INFO,고객센터,1,지상,1,지상 1층,(1F) 대합실1번출구 방향,,,,
01,수도권,KR,1,1호선,0118,녹양,LARM,수유실,1,지상,1,지상 1층,(1F) 1층 대합실 2번출구 방향,,,,
01,수도권,KR,1,1호선,0002,가능,EV,일반승강기,1,지상,2,지상 2층,[1호기](1F)하행방면남쪽게이트-(2F)녹양역방향승강장6-4출입문앞,,,,
01,수도권,KR,1,1호선,0002,가능,EV,일반승강기,1,지상,2,지상 2층,[2호기](1F)상행방면남쪽게이트-(2F)의정부역방향승강장5-1출입문앞,,,,
01,수도권,KR,1,1호선,0002,가능,EV,일반승강기,1,지상,1,지상 1층,[1호기](1F)하행방면남쪽게이트-(2F)녹양역방향승강장6-4출입문앞,,,,
01,수도권,KR,1,1호선,0002,가능,EV,일반승강기,1,지상,1,지상 1층,[2호기](1F)상행방면남쪽게이트-(2F)의정부역방향승강장5-1출입문앞,,,,
01,수도권,KR,1,1호선,0002,가능,TOLT,일반화장실(남),1,지상,1,지상 1층,1번출구 앞,1,일반,1,남
01,수도권,KR,1,1호선,0002,가능,TOLT,일반화장실(여),1,지상,1,지상 1층,1번출구 앞,1,일반,2,여
01,수도권,KR,1,1호선,0002,가능,TOLT,장애인화장실(남),1,지상,1,지상 1층,1번출구 앞,2,장애인,1,남
01,수도권,KR,1,1호선,0002,가능,TOLT,장애인화장실(여),1,지상,1,지상 1층,1번출구 앞,2,장애인,2,여
01,수도권,KR,1,1호선,0002,가능,INFO,고객센터,1,지상,1,지상 1층,"(F1) 대합실 1,2번 출입구 방향",,,,
01,수도권,KR,1,1호선,0002,가능,LARM,수유실,1,지상,1,지상 1층,(F1) 대합실 2번 출구 왼쪽방향,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,3,지상 3층,[8호기](1F)가능역방향승강장10-4계단뒤,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,3,지상 3층,[2호기](1F)가능역방향승강장2-1출입문앞,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,3,지상 3층,[3호기](1F)회룡역방향승강장10-1출입문앞,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,3,지상 3층,[6호기](1F)4번출입구방향,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,3,지상 3층,[7호기](1F)회룡역방향승강장1-1계단뒤,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,3,지상 3층,[1호기](1F)저상홈,,,,
01,수도권,KR,1,1호선,0470,의정부,ELEC,전동휠체어충전설비,1,지상,3,지상 3층,(3F) 동부 화장실 앞,,,,
01,수도권,KR,1,1호선,0470,의정부,TOLT,일반화장실(남),1,지상,3,지상 3층,(3층) 역무실 옆,1,일반,1,남
01,수도권,KR,1,1호선,0470,의정부,TOLT,일반화장실(남),1,지상,3,지상 3층,"(3층) 4,5번 출입구 방향",1,일반,1,남
01,수도권,KR,1,1호선,0470,의정부,TOLT,일반화장실(여),1,지상,3,지상 3층,(3층) 역무실 옆,1,일반,2,여
01,수도권,KR,1,1호선,0470,의정부,TOLT,일반화장실(여),1,지상,3,지상 3층,"(3층) 4,5번 출입구 방향",1,일반,2,여
01,수도권,KR,1,1호선,0470,의정부,TOLT,장애인화장실(남),1,지상,3,지상 3층,"(3층) 4,5번 출입구 방향",2,장애인,1,남
01,수도권,KR,1,1호선,0470,의정부,TOLT,장애인화장실(남),1,지상,3,지상 3층,(3층) 역무실 옆,2,장애인,1,남
01,수도권,KR,1,1호선,0470,의정부,TOLT,장애인화장실(여),1,지상,3,지상 3층,"(3층) 4,5번 출입구 방향",2,장애인,2,여
01,수도권,KR,1,1호선,0470,의정부,TOLT,장애인화장실(여),1,지상,3,지상 3층,(3층) 역무실 옆,2,장애인,2,여
01,수도권,KR,1,1호선,0470,의정부,INFO,고객센터,1,지상,3,지상 3층,"(3F) 2,3번 출입구 방향 화장실 옆",,,,
01,수도권,KR,1,1호선,0470,의정부,LARM,수유실,1,지상,3,지상 3층,(3F) 동부 화장실 옆,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,2,지상 2층,[8호기](1F) 회룡역 방향 승강장 1-1 계단 뒤,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,2,지상 2층,[1호기](1F) 저상홈,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,2,지상 2층,[9호기](1F) 가능역 방향 승강장 10-4 계단 뒤,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,2,지상 2층,[3호기](1F) 회룡역 방향 승강장 10-1 출입문 앞,,,,
01,수도권,KR,1,1호선,0470,의정부,EV,일반승강기,1,지상,2,지상 2층,[7호기](1F) 4번 출입구 방향,,,,
