are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,plf_no,plf_tp_nm,run_dir_tmn_stin_nm,next_stin_nm,screen_door,safety_footboard,platform_crossable,braille_block,braille_sign
01,수도권,S1,2,2호선,0498,잠실나루,2,상대식,,잠실,●,●,●,×,×
01,수도권,S1,2,2호선,0023,강변,1,상대식,,잠실나루,●,●,●,×,×
01,수도권,S1,2,2호선,0023,강변,2,상대식,,구의,●,●,●,×,×
01,수도권,S1,2,2호선,0076,구의,1,상대식,,강변,●,●,×,×,×
01,수도권,S1,2,2호선,0076,구의,2,상대식,,건대입구,●,●,×,×,×
01,수도권,S1,2,2호선,0031,건대입구,1,상대식,,구의,●,●,●,×,×
01,수도권,S1,2,2호선,0031,건대입구,2,상대식,,성수,●,●,●,×,×
01,수도권,S1,2,2호선,0314,성수,1,섬식,,뚝섬·용답,●,●,●,×,×
01,수도권,S1,2,2호선,0314,성수,2,섬식,,건대입구·성수,●,●,●,×,×
01,수도권,S1,2,2호선,0175,뚝섬,1,상대식,,성수,●,●,×,×,×
01,수도권,S1,2,2호선,0175,뚝섬,2,상대식,,한양대,●,●,×,×,×
01,수도권,S1,2,2호선,0588,한양대,1,상대식,,뚝섬,●,●,×,×,×
01,수도권,S1,2,2호선,0588,한양대,2,상대식,,왕십리,●,●,×,×,×
01,수도권,S1,2,2호선,0441,왕십리,1,상대식,,한양대,●,●,●,×,×
01,수도권,S1,2,2호선,0441,왕십리,2,상대식,,상왕십리,●,●,●,×,×
01,수도권,S1,2,2호선,0279,상왕십리,1,상대식,,왕십리,●,●,×,×,×
01,수도권,S1,2,2호선,0279,상왕십리,2,상대식,,신당,●,●,×,×,×
01,수도권,S1,2,2호선,0356,신당,1,상대식,,상왕십리,●,●,×,×,×
01,수도권,S1,2,2호선,0356,신당,2,상대식,,동대문역사문화공원,●,●,×,×,×
01,수도권,S1,2,2호선,0156,동대문역사문화공원,1,상대식,,신당,●,●,●,×,×
01,수도권,S1,2,2호선,0156,동대문역사문화공원,2,상대식,,을지로4가,●,●,●,×,×
01,수도권,S1,2,2호선,0465,을지로4가,1,상대식,,동대문역사문화공원,●,●,×,×,×
01,수도권,S1,2,2호선,0465,을지로4가,2,상대식,,을지로3가,●,●,×,×,×
01,수도권,S1,2,2호선,0464,을지로3가,1,상대식,,을지로4가,●,●,×,×,×
01,수도권,S1,2,2호선,0464,을지로3가,2,상대식,,을지로입구,●,●,×,×,×
01,수도권,S1,2,2호선,0466,을지로입구,1,상대식,,을지로3가,●,●,×,×,×
01,수도권,S1,2,2호선,0466,을지로입구,2,상대식,,을지로입구,●,●,×,×,×
01,수도권,S1,2,2호선,0443,용답,1,상대식,,성수,●,×,●,×,×
01,수도권,S1,2,2호선,0443,용답,2,상대식,,신답,●,×,●,×,×
01,수도권,S1,2,2호선,0355,신답,1,상대식,,용답,●,×,●,×,×
01,수도권,S1,2,2호선,0355,신답,2,상대식,,용두,●,×,●,×,×
01,수도권,S1,2,2호선,0444,용두,1,상대식,,신답,●,×,●,×,×
01,수도권,S1,2,2호선,0444,용두,2,상대식,,신설동,●,×,●,×,×
01,수도권,S1,2,2호선,0367,신설동,1,상대식,,용두,●,×,●,×,×
01,수도권,S1,2,2호선,0367,신설동,2,상대식,,신설동,●,×,●,×,×
01,수도권,S1,2,2호선,0144,도림천,1,상대식,,신도림,●,×,●,×,×
01,수도권,S1,2,2호선,0144,도림천,2,상대식,,양천구청,●,×,●,×,×
01,수도권,S1,2,2호선,0404,양천구청,1,상대식,,도림천,●,×,●,×,×
01,수도권,S1,2,2호선,0404,양천구청,2,상대식,,신정네거리,●,×,●,×,×
01,수도권,S1,2,2호선,0373,신정네거리,1,상대식,,양천구청,●,×,×,×,×
01,수도권,S1,2,2호선,0373,신정네거리,2,상대식,,까치산,●,×,×,×,×
01,수도권,S1,2,2호선,0100,까치산,1,1섬 1상대식,,신정네거리,●,×,●,×,×
01,수도권,KR,3,3호선,0137,대화,1,상대식,,대화,●,●,●,×,×
01,수도권,KR,3,3호선,0137,대화,2,상대식,,주엽,●,●,●,×,×
01,수도권,KR,3,3호선,0522,주엽,1,상대식,,대화,●,×,●,×,×
01,수도권,KR,3,3호선,0522,주엽,2,상대식,,정발산,●,×,●,×,×
01,수도권,KR,3,3호선,0508,정발산,1,상대식,,주엽,×,●,●,×,×
01,수도권,KR,3,3호선,0508,정발산,2,상대식,,마두,×,●,●,×,×
01,수도권,KR,3,3호선,0179,마두,1,섬식,,정발산,●,●,●,×,×
