are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,step_no,step_text
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,3,2,2) 표 내는곳 통과
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,3,3,3) 덕계 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,3,4,4) (2F) 덕계 방면 승강장으로 이동
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,3,5,5) 승차(휠체어칸)
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,4,1,1) (1F) 2번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,4,2,2) 표 내는곳 통과
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,4,3,3) 녹양 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,4,4,4) (2F) 녹양 방면 승강장으로 이동
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,4,5,5) 승차(휠체어칸)
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,1,1,1) 1번 출입구
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,1,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,1,3,3) 양주방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,1,4,4) 양주방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,1,5,5) 양주방면 승강장
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,2,1,1) 2번 출입구
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,2,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,2,3,3) 양주방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,2,4,4) 양주방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,2,5,5) 양주방면 승강장
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,3,1,1) 1번 출입구
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,3,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,3,3,3) 가능방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,3,4,4) 가능방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,3,5,5) 가능방면 승강장
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,4,1,1) 2번 출입구
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,4,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,4,3,3) 가능방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,4,4,4) 가능방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0118,녹양,1,출입구-승강장,4,5,5) 가능방면 승강장
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,1,1,1) 1번 출입구
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,1,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,1,3,3) 녹양방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,1,4,4) 녹양방면 지상2층 승강장 엘리베이터
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,1,5,5) 녹양방면 승강장
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,2,1,1) 2번 출입구
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,2,2,2) 개집표기 통과
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,2,3,3) 녹양방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0002,가능,1,출입구-승강장,2,4,4) 녹양방면 지상2층 승강장 엘리베이터
